model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r156_BAG_L1,0.5052164816608309,balanced_accuracy,0.09936189651489258,10.713983058929443,0.09936189651489258,10.713983058929443,1,True,41
XGBoost_r194_BAG_L1,0.5047224823774403,balanced_accuracy,0.08794975280761719,1.0457561016082764,0.08794975280761719,1.0457561016082764,1,True,33
NeuralNetTorch_r30_BAG_L1,0.5035480146018029,balanced_accuracy,0.1613314151763916,31.070786952972412,0.1613314151763916,31.070786952972412,1,True,28
XGBoost_BAG_L2,0.5033444727067613,balanced_accuracy,14.588720083236694,808.8539144992828,0.16631054878234863,4.418375015258789,2,True,118
LightGBM_r130_BAG_L2,0.5031309532678452,balanced_accuracy,14.592920780181885,807.0583884716034,0.17051124572753906,2.6228489875793457,2,True,138
XGBoost_r194_BAG_L2,0.5028181018365776,balanced_accuracy,14.477818012237549,807.3257675170898,0.055408477783203125,2.890228033065796,2,True,142
NeuralNetTorch_r143_BAG_L2,0.5027733137507405,balanced_accuracy,15.010632038116455,823.9411942958832,0.5882225036621094,19.50565481185913,2,True,169
RandomForest_r195_BAG_L2,0.5027063533451822,balanced_accuracy,15.210754632949829,858.7473316192627,0.7883450984954834,54.31179213523865,2,True,133
NeuralNetFastAI_r11_BAG_L2,0.5026815203470943,balanced_accuracy,14.832069158554077,835.8570938110352,0.40965962409973145,31.42155432701111,2,True,141
XGBoost_r22_BAG_L1,0.5025673329005297,balanced_accuracy,0.09483933448791504,1.2944159507751465,0.09483933448791504,1.2944159507751465,1,True,81
LightGBMLarge_BAG_L2,0.5025673329005297,balanced_accuracy,14.541255235671997,808.0583465099335,0.11884570121765137,3.622807025909424,2,True,120
RandomForest_r195_BAG_L1,0.5023214418748204,balanced_accuracy,0.5005629062652588,4.535201787948608,0.5005629062652588,4.535201787948608,1,True,24
RandomForest_r16_BAG_L1,0.5023214418748204,balanced_accuracy,0.5468521118164062,6.212832927703857,0.5468521118164062,6.212832927703857,1,True,92
CatBoost_r6_BAG_L1,0.502266897968306,balanced_accuracy,0.012748479843139648,4.297329902648926,0.012748479843139648,4.297329902648926,1,True,83
NeuralNetTorch_r31_BAG_L1,0.5022569204244314,balanced_accuracy,0.13999366760253906,11.411302328109741,0.13999366760253906,11.411302328109741,1,True,63
NeuralNetTorch_r41_BAG_L1,0.5022296484711742,balanced_accuracy,0.10983157157897949,10.911971092224121,0.10983157157897949,10.911971092224121,1,True,46
NeuralNetFastAI_r102_BAG_L2,0.502080650482647,balanced_accuracy,14.530152082443237,811.1882045269012,0.1077425479888916,6.752665042877197,2,True,131
LightGBM_r130_BAG_L1,0.5019540465370385,balanced_accuracy,0.1879408359527588,1.3203372955322266,0.1879408359527588,1.3203372955322266,1,True,29
NeuralNetFastAI_r134_BAG_L1,0.5018323205017685,balanced_accuracy,0.24891352653503418,24.100318908691406,0.24891352653503418,24.100318908691406,1,True,57
NeuralNetTorch_r1_BAG_L1,0.5017677990513795,balanced_accuracy,0.14923810958862305,14.118694067001343,0.14923810958862305,14.118694067001343,1,True,107
XGBoost_r89_BAG_L1,0.5017156941000344,balanced_accuracy,0.06055021286010742,0.8730177879333496,0.06055021286010742,0.8730177879333496,1,True,27
CatBoost_r180_BAG_L1,0.5017032776009904,balanced_accuracy,0.013473033905029297,4.1069629192352295,0.013473033905029297,4.1069629192352295,1,True,87
LightGBMLarge_BAG_L1,0.5016908611019465,balanced_accuracy,0.11495280265808105,1.5472378730773926,0.11495280265808105,1.5472378730773926,1,True,11
RandomForest_r39_BAG_L2,0.5016287786067268,balanced_accuracy,15.273103713989258,855.470819234848,0.8506941795349121,51.035279750823975,2,True,152
NeuralNetFastAI_r11_BAG_L1,0.5016063845638085,balanced_accuracy,0.3159611225128174,30.15907573699951,0.3159611225128174,30.15907573699951,1,True,32
ExtraTrees_r42_BAG_L1,0.5015939680647645,balanced_accuracy,0.5689911842346191,0.8000228404998779,0.5689911842346191,0.8000228404998779,1,True,20
ExtraTrees_r197_BAG_L1,0.5015443020685888,balanced_accuracy,0.5843160152435303,0.8747508525848389,0.5843160152435303,0.8747508525848389,1,True,89
NeuralNetFastAI_BAG_L2,0.5015170301153316,balanced_accuracy,14.59618067741394,816.5120115280151,0.17377114295959473,12.076472043991089,2,True,117
RandomForest_r39_BAG_L1,0.5014673641191558,balanced_accuracy,0.5138142108917236,4.35495400428772,0.5138142108917236,4.35495400428772,1,True,43
LightGBM_r135_BAG_L1,0.5014152591678107,balanced_accuracy,0.16586899757385254,1.8152198791503906,0.16586899757385254,1.8152198791503906,1,True,80
ExtraTrees_r42_BAG_L2,0.501365593171635,balanced_accuracy,15.305479526519775,807.2056932449341,0.8830699920654297,2.770153760910034,2,True,129
NeuralNetTorch_r79_BAG_L2,0.5012290116821518,balanced_accuracy,14.949159145355225,815.8723983764648,0.5267496109008789,11.436858892440796,2,True,122
CatBoost_r163_BAG_L1,0.5011520737327189,balanced_accuracy,0.010300874710083008,5.367281913757324,0.010300874710083008,5.367281913757324,1,True,100
LightGBM_r42_BAG_L1,0.5011520737327189,balanced_accuracy,0.08345460891723633,1.0816740989685059,0.08345460891723633,1.0816740989685059,1,True,106
CatBoost_r9_BAG_L2,0.5011396572336749,balanced_accuracy,14.448020696640015,814.6296813488007,0.025611162185668945,10.194141864776611,2,True,125
NeuralNetFastAI_r191_BAG_L2,0.501127240734631,balanced_accuracy,14.711148500442505,836.4807214736938,0.2887389659881592,32.0451819896698,2,True,124
RandomForest_r127_BAG_L2,0.5010899912374992,balanced_accuracy,15.140097618103027,866.9189913272858,0.7176880836486816,62.48345184326172,2,True,165
NeuralNetFastAI_r65_BAG_L1,0.5010775747384553,balanced_accuracy,0.1244051456451416,10.316615104675293,0.1244051456451416,10.316615104675293,1,True,65
NeuralNetFastAI_r102_BAG_L1,0.5010154922432357,balanced_accuracy,0.07628130912780762,6.039923906326294,0.07628130912780762,6.039923906326294,1,True,22
NeuralNetFastAI_r138_BAG_L1,0.500953409748016,balanced_accuracy,0.33674120903015137,37.106870889663696,0.33674120903015137,37.106870889663696,1,True,84
CatBoost_r143_BAG_L1,0.5008640552995391,balanced_accuracy,0.010733842849731445,1.9434378147125244,0.010733842849731445,1.9434378147125244,1,True,72
CatBoost_r177_BAG_L1,0.5008640552995391,balanced_accuracy,0.010817766189575195,1.5575048923492432,0.010817766189575195,1.5575048923492432,1,True,12
CatBoost_r50_BAG_L1,0.5008640552995391,balanced_accuracy,0.011188030242919922,3.4008800983428955,0.011188030242919922,3.4008800983428955,1,True,31
NeuralNetFastAI_r145_BAG_L1,0.5008392223014513,balanced_accuracy,0.25753259658813477,23.798641204833984,0.25753259658813477,23.798641204833984,1,True,26
ExtraTrees_r49_BAG_L2,0.5008392223014513,balanced_accuracy,15.31509256362915,805.2924702167511,0.8926830291748047,0.8569307327270508,2,True,163
ExtraTreesGini_BAG_L2,0.5008392223014513,balanced_accuracy,15.331139326095581,805.1661796569824,0.9087297916412354,0.730640172958374,2,True,115
NeuralNetTorch_r76_BAG_L1,0.5008143893033634,balanced_accuracy,0.11284112930297852,7.790791749954224,0.11284112930297852,7.790791749954224,1,True,88
NeuralNetFastAI_r4_BAG_L1,0.5008019728043195,balanced_accuracy,0.1329188346862793,11.106439113616943,0.1329188346862793,11.106439113616943,1,True,96
NeuralNetFastAI_r127_BAG_L1,0.5006529748157924,balanced_accuracy,0.08673906326293945,5.600184917449951,0.08673906326293945,5.600184917449951,1,True,91
CatBoost_r70_BAG_L1,0.5005760368663594,balanced_accuracy,0.011371135711669922,6.022429943084717,0.011371135711669922,6.022429943084717,1,True,40
CatBoost_r128_BAG_L1,0.5005760368663594,balanced_accuracy,0.01234126091003418,4.727651119232178,0.01234126091003418,4.727651119232178,1,True,61
XGBoost_r95_BAG_L1,0.5005760368663594,balanced_accuracy,0.044156789779663086,0.7196180820465088,0.044156789779663086,0.7196180820465088,1,True,104
CatBoost_r50_BAG_L2,0.5005760368663594,balanced_accuracy,14.441859483718872,809.8096256256104,0.019449949264526367,5.374086141586304,2,True,140
LightGBM_BAG_L2,0.5005760368663594,balanced_accuracy,14.465741872787476,806.0786695480347,0.04333233833312988,1.6431300640106201,2,True,111
XGBoost_r89_BAG_L2,0.5005636203673155,balanced_accuracy,14.53757357597351,806.6273686885834,0.11516404151916504,2.191829204559326,2,True,136
ExtraTreesEntr_BAG_L2,0.5005636203673155,balanced_accuracy,15.300165891647339,805.0834534168243,0.8777563571929932,0.647913932800293,2,True,116
